11	8
-77.724	36.132	61.438	53.208
-57.022	18.349	-64.122	-31.119
8.858	84.47	5.835	61.447
-6.778	-0.405	-17.04	72.987
71.158	-45.422	38.403	30.072
-81.705	-39.725	38.57	66.362
-46.54	88.993	22.501	-13.81
-69.312	97.895	80.221	47.34
89.843	-21.261	69.776	-93.785
-38.306	-74.62	14.881	-11.329
96.675	58.381	78.148	49.889
-86.325	98.679	59.573	70.503
55.561	-88.239	44.824	41.502
-28.398	95.711	-70.189	49.838
-97.485	88.912	3.172	-65.453
-71.785	-11.417	56.402	-69.993
78.805	-43.28	35.069	83.423
-30.173	11.691	-19.767	-29.671
81.864	-58.387	35.212	5.697
-94.275	47.037	40.265	-82.445
-89.718	-34.035	99.23	-41.717
-8.154	25.329	18.477	89.953
