225001.66	12.995	37
250000.00	5.000	10
175987.65	7.383	50
12345.67	9.999	43
543210.98	12.995	37
245950.20	9.47	46
210239.89	7.79	23
9999.99	5.995	37
183403.42	11.86	16
148540.97	6.36	29
159066.33	5.001	49
225001.66	16.995	37
225001.66	4.999	37
205329.19	8.18	40
219729.78	10.81	42
201895.87	15.001	10
197487.07	12.43	20
175705.32	5.77	37
225001.66	12.995	51
174470.96	10.24	31
225001.66	12.995	9
123456.78	8.333	35
10000.00	15.000	50
199999.99	14.999	25
100000.01	11.111	33
250000.01	14.999	50
175535.18	6.11	15
159883.40	6.29	37
249474.30	12.29	48
10000.01	14.999	11
166692.57	12.84	19
106508.44	8.55	44
202327.70	12.29	39
200314.33	10.29	16
249999.99	12.345	29
243080.10	13.97	45
128028.59	5.91	25
183403.42	11.86	16
148540.97	6.36	29
119729.12	10.03	31
197487.07	12.43	20
175705.32	5.77	37
